	nTconv_1	mTconv_1	nTreg_1	eTreg_1	nTconv_2	mTconv_2	nTreg_2	eTreg_2	nTconv_3	mTconv_3	nTreg_3	eTreg_3
MCM5	263.196194066132	162.904430639142	205.916284807141	227.769512750827	191.080334220286	190.848864496952	423.084700759574	298.702906432957	172.52279394025	356.282830037259	205.302288156476	357.715069446559
MCM6	71.7039192215273	111.896367912788	82.9957089568904	96.6545035362828	110.967801371441	124.465745745596	198.217609691637	168.199890822588	97.9933981056464	234.724291759939	107.658989497995	137.887197644114
MCM7	469.122694089665	262.805373837127	359.367395819031	257.698661571011	353.061098097852	236.791756537814	509.921610342359	277.104456489611	423.845639998067	467.549804990233	340.287399233428	358.588309041974
MCM8	16.572060602712	20.5362851818198	28.2454289424887	27.9283289439711	28.3488971012778	28.6263309264331	46.2933167800839	30.2408469838869	24.0505296510312	27.6278449699309	30.3101243438295	33.3730496761795
MCM9	122.556583875303	150.342849863813	152.874095367747	136.096168175346	125.181125666733	93.5961517742674	193.190415749826	198.168705774198	103.716655387067	164.521128595818	108.024971092001	241.700432065283
MCMBP	118.872396701701	102.006220830479	136.544369564599	90.8437538867321	112.651466724834	85.9018417158597	192.850403160256	118.842075199036	122.600187942117	153.352105126065	160.423641915658	133.911653059102
MCMDC2	3.88888933223199	4.75137163670371	4.30218115447055	3.60590290786873	6.51831392328078	6.63989760309771	11.1060974823325	6.52845855956335	2.70316520167338	3.05586419744918	5.43890789304189	5.91663524506548
MCOLN1	24.3534785313756	23.7654756411852	15.2360201384973	32.5419169421121	24.0542671856214	21.1640732895703	34.1523960893328	33.2571479428404	30.5211847318967	56.1554199784276	21.6806082065433	35.4387468013341
MCOLN2	6.17454082744157	113.518849752461	9.430835557685	13.6333290986032	10.0350339631408	119.593796163585	25.5676362677011	19.1315753381269	16.7718021691702	249.981619580508	17.3169091940624	19.3477660292827
MCOLN3	7.49134792365072	6.28814795120401	3.29306672664313	2.82486010776533	8.5984045398841	12.5440745751293	7.88872802525763	8.9280873994734	6.98687993762763	21.7463002991262	7.01093453942283	4.80225954897969
MCPH1	156.230914902143	206.483034049472	235.23690121199	183.160240111931	143.629205649638	151.642870895788	256.051132867747	223.526315425397	145.175402177533	309.454897848578	218.83042542107	199.195759043518
MCRIP1	535.095856233022	424.641566970828	288.392518801179	424.536620094642	273.231510260125	337.026015983775	452.053946719317	402.234892642244	251.39692496974	480.031104974977	230.155530472132	374.107265370914
MCRIP2	135.94572077973	92.0155440141745	122.241737831984	68.8373574465093	123.101885121631	77.9597396043595	192.38820716349	77.1964013710219	111.899089509404	135.765082931932	118.395025224417	62.9190951635861
MCRS1	325.872763578333	235.044866638016	295.257368396776	184.273127459453	291.83829601629	298.921485663887	561.325108612184	374.289061111164	216.404533411625	430.483755282432	180.788469858245	368.445957373008
